model_name,feature_name,samples,accuracy,precision,f1_score,auc_roc,true_positives,true_negatives,false_positives,false_negatives
qwen3:30b,sofa_respiration,63,0.9047619047619048,0.9152542372881356,0.9473684210526315,0.8670454545454547,54,3,5,1
qwen3:30b,sofa_coagulation,63,0.7142857142857143,0.8536585365853658,0.7954545454545454,0.7559840425531914,35,10,6,12
qwen3:30b,sofa_liver,63,0.8412698412698413,0.925,0.8809523809523809,0.909688995215311,37,16,3,7
qwen3:30b,sofa_cardiovascular,63,0.6190476190476191,0.36363636363636365,0.25,0.5980725623582767,4,35,7,17
qwen3:30b,sofa_cns,63,0.6825396825396826,0.6842105263157895,0.7959183673469388,0.6130820399113082,39,4,18,2
qwen3:30b,sofa_renal,63,0.6984126984126984,0.8157894736842105,0.7654320987654321,0.772093023255814,31,13,7,12
qwen3:4b,sofa_respiration,71,0.8591549295774648,0.90625,0.9206349206349206,0.7706093189964157,58,3,6,4
qwen3:4b,sofa_coagulation,71,0.8873239436619719,0.9285714285714286,0.9069767441860465,0.9667508417508417,39,24,3,5
qwen3:4b,sofa_liver,71,0.9154929577464789,0.8867924528301887,0.94,0.9539007092198581,47,18,6,0
qwen3:4b,sofa_cardiovascular,71,0.676056338028169,0.5,0.3783783783783784,0.7119565217391304,7,41,7,16
qwen3:4b,sofa_cns,71,0.676056338028169,0.6666666666666666,0.7927927927927928,0.5264957264957265,44,4,22,1
qwen3:4b,sofa_renal,71,0.6901408450704225,0.7346938775510204,0.7659574468085106,0.702991452991453,36,13,13,9
deepseek-r1:32b,sofa_respiration,65,0.9384615384615385,1.0,0.9661016949152542,0.985655737704918,57,4,0,4
deepseek-r1:32b,sofa_coagulation,65,0.8,0.8695652173913043,0.8602150537634409,0.8729314420803783,40,12,6,7
deepseek-r1:32b,sofa_liver,65,0.7384615384615385,0.8863636363636364,0.8210526315789474,0.8298319327731092,39,9,5,12
deepseek-r1:32b,sofa_cardiovascular,65,0.6923076923076923,0.46153846153846156,0.375,0.6458810068649885,6,39,7,13
deepseek-r1:32b,sofa_cns,65,0.6615384615384615,0.6666666666666666,0.7924528301886793,0.5274841437632135,42,1,21,1
deepseek-r1:32b,sofa_renal,65,0.6307692307692307,0.8717948717948718,0.7391304347826086,0.7083333333333333,34,7,5,19
mistral:7b,sofa_respiration,55,0.8909090909090909,0.8846153846153846,0.9387755102040817,0.8707729468599034,46,3,6,0
mistral:7b,sofa_coagulation,55,0.9636363636363636,0.9705882352941176,0.9705882352941176,0.9971988795518207,33,20,1,1
mistral:7b,sofa_liver,55,0.8181818181818182,0.8571428571428571,0.8936170212765957,0.8822222222222221,42,3,7,3
mistral:7b,sofa_cardiovascular,55,0.7818181818181819,0.6,0.5,0.7656794425087108,6,37,4,8
mistral:7b,sofa_cns,55,0.6363636363636364,0.6363636363636364,0.7777777777777778,0.6057142857142856,35,0,20,0
mistral:7b,sofa_renal,55,0.7272727272727273,0.7948717948717948,0.8051948051948052,0.7329721362229102,31,9,8,7
gemma3:12b,sofa_respiration,70,0.8285714285714286,0.8846153846153846,0.8846153846153846,0.8808760683760684,46,12,6,6
gemma3:12b,sofa_coagulation,70,0.9428571428571428,0.9464285714285714,0.9636363636363636,0.9866898148148149,53,13,3,1
gemma3:12b,sofa_liver,70,0.8714285714285714,0.9387755102040817,0.9108910891089109,0.9091880341880342,46,15,3,6
gemma3:12b,sofa_cardiovascular,70,0.9428571428571428,0.5,0.6,0.9356060606060607,3,63,3,1
gemma3:12b,sofa_cns,70,0.7142857142857143,0.7352941176470589,0.8333333333333334,0.4775641025641026,50,0,18,2
gemma3:12b,sofa_renal,70,0.8,0.8813559322033898,0.8813559322033898,0.7172573189522342,52,4,7,7
